date,sector,business_type,estimated_transactions,estimated_revenue
2026-01-02,Tech Park,Healthcare,50,75000
2026-01-02,Tech Park,Entertainment,124,62000
2026-01-02,Tech Park,Services,110,132000
2026-01-02,Tech Park,Retail,173,138400
2026-01-02,Old Town,Entertainment,101,50500
2026-01-02,Old Town,Grocery,127,76200
2026-01-02,Old Town,Retail,102,81600
2026-01-02,Old Town,Services,62,74400
2026-01-02,Old Town,Food & Beverage,202,70700
2026-01-02,Old Town,Healthcare,40,60000
2026-01-02,Riverside,Food & Beverage,134,46900
2026-01-02,Riverside,Healthcare,26,39000
2026-01-02,Riverside,Grocery,101,60600
2026-01-02,Riverside,Retail,77,61600
2026-01-02,Riverside,Services,36,43200
2026-01-02,College Road,Retail,146,116800
2026-01-02,College Road,Grocery,212,127200
2026-01-02,College Road,Entertainment,125,62500
2026-01-02,College Road,Services,81,97200
2026-01-02,College Road,Food & Beverage,283,99050
2026-01-02,College Road,Healthcare,58,87000
2026-01-02,Industrial Zone,Entertainment,41,20500
2026-01-02,Industrial Zone,Retail,58,46400
2026-01-02,Industrial Zone,Services,24,28800
2026-01-02,Industrial Zone,Healthcare,16,24000
2026-01-02,Industrial Zone,Food & Beverage,78,27300
2026-01-02,Industrial Zone,Grocery,55,33000
2026-01-02,Central Mall,Healthcare,64,96000
2026-01-02,Central Mall,Retail,191,152800
2026-01-02,Central Mall,Entertainment,178,89000
2026-01-02,Central Mall,Grocery,275,165000
2026-01-02,Station Area,Grocery,188,112800
2026-01-02,Station Area,Retail,186,148800
2026-01-02,Station Area,Food & Beverage,294,102900
2026-01-02,Station Area,Entertainment,133,66500
2026-01-03,Market Street,Retail,226,180800
2026-01-03,Market Street,Healthcare,69,103500
2026-01-03,Market Street,Entertainment,178,89000
2026-01-03,Market Street,Services,137,164400
2026-01-03,Market Street,Grocery,367,220200
2026-01-03,Market Street,Food & Beverage,446,156100
2026-01-03,Tech Park,Healthcare,43,64500
2026-01-03,Tech Park,Entertainment,98,49000
2026-01-03,Tech Park,Services,74,88800
2026-01-03,Tech Park,Retail,114,91200
2026-01-03,Old Town,Entertainment,112,56000
2026-01-03,Old Town,Grocery,179,107400
2026-01-03,Old Town,Retail,130,104000
2026-01-03,Old Town,Services,61,73200
2026-01-03,Old Town,Food & Beverage,239,83650
2026-01-03,Old Town,Healthcare,43,64500
2026-01-03,Riverside,Food & Beverage,137,47950
2026-01-03,Riverside,Healthcare,22,33000
2026-01-03,Riverside,Grocery,123,73800
2026-01-03,Riverside,Retail,109,87200
2026-01-03,Riverside,Services,57,68400
2026-01-03,College Road,Retail,128,102400
2026-01-03,College Road,Grocery,168,100800
2026-01-03,College Road,Entertainment,112,56000
2026-01-03,College Road,Services,64,76800
2026-01-03,College Road,Food & Beverage,230,80500
2026-01-03,College Road,Healthcare,48,72000
2026-01-03,Industrial Zone,Entertainment,52,26000
2026-01-03,Industrial Zone,Retail,58,46400
2026-01-03,Industrial Zone,Services,30,36000
2026-01-03,Industrial Zone,Healthcare,17,25500
2026-01-03,Industrial Zone,Food & Beverage,90,31500
2026-01-03,Industrial Zone,Grocery,76,45600
2026-01-03,Central Mall,Healthcare,109,163500
2026-01-03,Central Mall,Retail,346,276800
2026-01-03,Central Mall,Entertainment,233,116500
2026-01-03,Central Mall,Grocery,485,291000
2026-01-03,Station Area,Grocery,189,113400
2026-01-03,Station Area,Retail,146,116800
2026-01-03,Station Area,Food & Beverage,225,78750
2026-01-03,Station Area,Entertainment,88,44000
2026-01-04,Market Street,Retail,262,209600
2026-01-04,Market Street,Healthcare,86,129000
2026-01-04,Market Street,Entertainment,187,93500
2026-01-04,Market Street,Services,129,154800
2026-01-04,Market Street,Grocery,338,202800
2026-01-04,Market Street,Food & Beverage,339,118650
2026-01-04,Tech Park,Healthcare,43,64500
2026-01-04,Tech Park,Entertainment,117,58500
2026-01-04,Tech Park,Services,63,75600
2026-01-04,Tech Park,Retail,140,112000
2026-01-04,Old Town,Entertainment,92,46000
2026-01-04,Old Town,Grocery,186,111600
2026-01-04,Old Town,Retail,133,106400
2026-01-04,Old Town,Services,59,70800
2026-01-04,Old Town,Food & Beverage,248,86800
2026-01-04,Old Town,Healthcare,41,61500
2026-01-04,Riverside,Food & Beverage,165,57750
2026-01-04,Riverside,Healthcare,36,54000
2026-01-04,Riverside,Grocery,160,96000
2026-01-04,Riverside,Retail,97,77600
2026-01-04,Riverside,Services,58,69600
2026-01-04,College Road,Retail,119,95200
2026-01-04,College Road,Grocery,163,97800
2026-01-04,College Road,Entertainment,93,46500
2026-01-04,College Road,Services,58,69600
2026-01-04,College Road,Food & Beverage,174,60900
2026-01-04,College Road,Healthcare,38,57000
2026-01-04,Industrial Zone,Entertainment,41,20500
2026-01-04,Industrial Zone,Retail,41,32800
2026-01-04,Industrial Zone,Services,32,38400
2026-01-04,Industrial Zone,Healthcare,21,31500
2026-01-04,Industrial Zone,Food & Beverage,74,25900
2026-01-04,Industrial Zone,Grocery,70,42000
2026-01-04,Central Mall,Healthcare,106,159000
2026-01-04,Central Mall,Retail,362,289600
2026-01-04,Central Mall,Entertainment,240,120000
2026-01-04,Central Mall,Grocery,371,222600
2026-01-04,Station Area,Grocery,248,148800
2026-01-04,Station Area,Retail,216,172800
2026-01-04,Station Area,Food & Beverage,296,103600
2026-01-04,Station Area,Entertainment,139,69500
2026-01-05,Market Street,Retail,171,136800
2026-01-05,Market Street,Healthcare,54,81000
2026-01-05,Market Street,Entertainment,146,73000
2026-01-05,Market Street,Services,111,133200
2026-01-05,Market Street,Grocery,248,148800
2026-01-05,Market Street,Food & Beverage,292,102200
2026-01-05,Tech Park,Healthcare,52,78000
2026-01-05,Tech Park,Entertainment,108,54000
2026-01-05,Tech Park,Services,93,111600
2026-01-05,Tech Park,Retail,159,127200
2026-01-05,Old Town,Entertainment,88,44000
2026-01-05,Old Town,Grocery,197,118200
2026-01-05,Old Town,Retail,115,92000
2026-01-05,Old Town,Services,55,66000
2026-01-05,Old Town,Food & Beverage,179,62650
2026-01-05,Old Town,Healthcare,41,61500
2026-01-05,Riverside,Food & Beverage,114,39900
2026-01-05,Riverside,Healthcare,19,28500
2026-01-05,Riverside,Grocery,98,58800
2026-01-05,Riverside,Retail,63,50400
2026-01-05,Riverside,Services,42,50400
2026-01-05,College Road,Retail,176,140800
2026-01-05,College Road,Grocery,202,121200
2026-01-05,College Road,Entertainment,143,71500
2026-01-05,College Road,Services,85,102000
2026-01-05,College Road,Food & Beverage,287,100450
2026-01-05,College Road,Healthcare,55,82500
2026-01-05,Industrial Zone,Entertainment,37,18500
2026-01-05,Industrial Zone,Retail,47,37600
2026-01-05,Industrial Zone,Services,29,34800
2026-01-05,Industrial Zone,Healthcare,16,24000
2026-01-05,Industrial Zone,Food & Beverage,81,28350
2026-01-05,Industrial Zone,Grocery,61,36600
2026-01-05,Central Mall,Healthcare,70,105000
2026-01-05,Central Mall,Retail,243,194400
2026-01-05,Central Mall,Entertainment,144,72000
2026-01-05,Central Mall,Grocery,269,161400
2026-01-05,Station Area,Grocery,255,153000
2026-01-05,Station Area,Retail,166,132800
2026-01-05,Station Area,Food & Beverage,292,102200
2026-01-05,Station Area,Entertainment,120,60000
2026-01-06,Market Street,Retail,199,159200
2026-01-06,Market Street,Healthcare,62,93000
2026-01-06,Market Street,Entertainment,168,84000
2026-01-06,Market Street,Services,114,136800
2026-01-06,Market Street,Grocery,321,192600
2026-01-06,Market Street,Food & Beverage,337,117950
2026-01-06,Tech Park,Healthcare,61,91500
2026-01-06,Tech Park,Entertainment,145,72500
2026-01-06,Tech Park,Services,91,109200
2026-01-06,Tech Park,Retail,184,147200
2026-01-06,Old Town,Entertainment,81,40500
2026-01-06,Old Town,Grocery,141,84600
2026-01-06,Old Town,Retail,118,94400
2026-01-06,Old Town,Services,50,60000
2026-01-06,Old Town,Food & Beverage,193,67550
2026-01-06,Old Town,Healthcare,39,58500
2026-01-06,Riverside,Food & Beverage,120,42000
2026-01-06,Riverside,Healthcare,19,28500
2026-01-06,Riverside,Grocery,91,54600
2026-01-06,Riverside,Retail,82,65600
2026-01-06,Riverside,Services,39,46800
2026-01-06,College Road,Retail,124,99200
2026-01-06,College Road,Grocery,174,104400
2026-01-06,College Road,Entertainment,119,59500
2026-01-06,College Road,Services,77,92400
2026-01-06,College Road,Food & Beverage,224,78400
2026-01-06,College Road,Healthcare,44,66000
2026-01-06,Industrial Zone,Entertainment,43,21500
2026-01-06,Industrial Zone,Retail,51,40800
2026-01-06,Industrial Zone,Services,35,42000
2026-01-06,Industrial Zone,Healthcare,18,27000
2026-01-06,Industrial Zone,Food & Beverage,106,37100
2026-01-06,Industrial Zone,Grocery,87,52200
2026-01-06,Central Mall,Healthcare,79,118500
2026-01-06,Central Mall,Retail,208,166400
2026-01-06,Central Mall,Entertainment,181,90500
2026-01-06,Central Mall,Grocery,289,173400
2026-01-06,Station Area,Grocery,217,130200
2026-01-06,Station Area,Retail,185,148000
2026-01-06,Station Area,Food & Beverage,263,92050
2026-01-06,Station Area,Entertainment,160,80000
2026-01-07,Market Street,Retail,177,141600
2026-01-07,Market Street,Healthcare,63,94500
2026-01-07,Market Street,Entertainment,152,76000
2026-01-07,Market Street,Services,96,115200
2026-01-07,Market Street,Grocery,262,157200
2026-01-07,Market Street,Food & Beverage,295,103250
2026-01-07,Tech Park,Healthcare,54,81000
2026-01-07,Tech Park,Entertainment,104,52000
2026-01-07,Tech Park,Services,81,97200
2026-01-07,Tech Park,Retail,180,144000
2026-01-07,Old Town,Entertainment,77,38500
2026-01-07,Old Town,Grocery,134,80400
2026-01-07,Old Town,Retail,113,90400
2026-01-07,Old Town,Services,58,69600
2026-01-07,Old Town,Food & Beverage,186,65100
2026-01-07,Old Town,Healthcare,37,55500
2026-01-07,Riverside,Food & Beverage,129,45150
2026-01-07,Riverside,Healthcare,27,40500
2026-01-07,Riverside,Grocery,101,60600
2026-01-07,Riverside,Retail,71,56800
2026-01-07,Riverside,Services,41,49200
2026-01-07,College Road,Retail,176,140800
2026-01-07,College Road,Grocery,194,116400
2026-01-07,College Road,Entertainment,107,53500
2026-01-07,College Road,Services,87,104400
2026-01-07,College Road,Food & Beverage,244,85400
2026-01-07,College Road,Healthcare,38,57000
2026-01-07,Industrial Zone,Entertainment,54,27000
2026-01-07,Industrial Zone,Retail,59,47200
2026-01-07,Industrial Zone,Services,33,39600
2026-01-07,Industrial Zone,Healthcare,21,31500
2026-01-07,Industrial Zone,Food & Beverage,107,37450
2026-01-07,Industrial Zone,Grocery,90,54000
2026-01-07,Central Mall,Healthcare,77,115500
2026-01-07,Central Mall,Retail,257,205600
2026-01-07,Central Mall,Entertainment,190,95000
2026-01-07,Central Mall,Grocery,350,210000
2026-01-07,Station Area,Grocery,252,151200
2026-01-07,Station Area,Retail,161,128800
2026-01-07,Station Area,Food & Beverage,328,114800
2026-01-07,Station Area,Entertainment,134,67000
2026-01-08,Market Street,Retail,182,145600
2026-01-08,Market Street,Healthcare,58,87000
2026-01-08,Market Street,Entertainment,159,79500
2026-01-08,Market Street,Services,87,104400
2026-01-08,Market Street,Grocery,217,130200
2026-01-08,Market Street,Food & Beverage,280,98000
2026-01-08,Tech Park,Healthcare,55,82500
2026-01-08,Tech Park,Entertainment,148,74000
2026-01-08,Tech Park,Services,76,91200
2026-01-08,Tech Park,Retail,153,122400
2026-01-08,Old Town,Entertainment,77,38500
2026-01-08,Old Town,Grocery,158,94800
2026-01-08,Old Town,Retail,126,100800
2026-01-08,Old Town,Services,57,68400
2026-01-08,Old Town,Food & Beverage,177,61950
2026-01-08,Old Town,Healthcare,36,54000
2026-01-08,Riverside,Food & Beverage,151,52850
2026-01-08,Riverside,Healthcare,24,36000
2026-01-08,Riverside,Grocery,110,66000
2026-01-08,Riverside,Retail,89,71200
2026-01-08,Riverside,Services,45,54000
2026-01-08,College Road,Retail,153,122400
2026-01-08,College Road,Grocery,221,132600
2026-01-08,College Road,Entertainment,87,43500
2026-01-08,College Road,Services,85,102000
2026-01-08,College Road,Food & Beverage,234,81900
2026-01-08,College Road,Healthcare,41,61500
2026-01-08,Industrial Zone,Entertainment,49,24500
2026-01-08,Industrial Zone,Retail,67,53600
2026-01-08,Industrial Zone,Services,31,37200
2026-01-08,Industrial Zone,Healthcare,21,31500
2026-01-08,Industrial Zone,Food & Beverage,114,39900
2026-01-08,Industrial Zone,Grocery,89,53400
2026-01-08,Central Mall,Healthcare,80,120000
2026-01-08,Central Mall,Retail,221,176800
2026-01-08,Central Mall,Entertainment,166,83000
2026-01-08,Central Mall,Grocery,230,138000
2026-01-08,Station Area,Grocery,195,117000
2026-01-08,Station Area,Retail,137,109600
2026-01-08,Station Area,Food & Beverage,304,106400
2026-01-08,Station Area,Entertainment,117,58500
2026-01-09,Market Street,Retail,195,156000
2026-01-09,Market Street,Healthcare,67,100500
2026-01-09,Market Street,Entertainment,154,77000
2026-01-09,Market Street,Services,120,144000
2026-01-09,Market Street,Grocery,241,144600
2026-01-09,Market Street,Food & Beverage,327,114450
2026-01-09,Tech Park,Healthcare,60,90000
2026-01-09,Tech Park,Entertainment,135,67500
2026-01-09,Tech Park,Services,98,117600
2026-01-09,Tech Park,Retail,195,156000
2026-01-09,Old Town,Entertainment,80,40000
2026-01-09,Old Town,Grocery,130,78000
2026-01-09,Old Town,Retail,90,72000
2026-01-09,Old Town,Services,55,66000
2026-01-09,Old Town,Food & Beverage,148,51800
2026-01-09,Old Town,Healthcare,37,55500
2026-01-09,Riverside,Food & Beverage,136,47600
2026-01-09,Riverside,Healthcare,23,34500
2026-01-09,Riverside,Grocery,105,63000
2026-01-09,Riverside,Retail,75,60000
2026-01-09,Riverside,Services,44,52800
2026-01-09,College Road,Retail,183,146400
2026-01-09,College Road,Grocery,175,105000
2026-01-09,College Road,Entertainment,130,65000
2026-01-09,College Road,Services,84,100800
2026-01-09,College Road,Food & Beverage,287,100450
2026-01-09,College Road,Healthcare,54,81000
2026-01-09,Industrial Zone,Entertainment,42,21000
2026-01-09,Industrial Zone,Retail,55,44000
2026-01-09,Industrial Zone,Services,28,33600
2026-01-09,Industrial Zone,Healthcare,21,31500
2026-01-09,Industrial Zone,Food & Beverage,95,33250
2026-01-09,Industrial Zone,Grocery,90,54000
2026-01-09,Central Mall,Healthcare,77,115500
2026-01-09,Central Mall,Retail,216,172800
2026-01-09,Central Mall,Entertainment,158,79000
2026-01-09,Central Mall,Grocery,254,152400
2026-01-09,Station Area,Grocery,209,125400
2026-01-09,Station Area,Retail,191,152800
2026-01-09,Station Area,Food & Beverage,326,114100
2026-01-09,Station Area,Entertainment,125,62500
2026-01-10,Market Street,Retail,275,220000
2026-01-10,Market Street,Healthcare,80,120000
2026-01-10,Market Street,Entertainment,205,102500
2026-01-10,Market Street,Services,156,187200
2026-01-10,Market Street,Grocery,367,220200
2026-01-10,Market Street,Food & Beverage,410,143500
2026-01-10,Tech Park,Healthcare,46,69000
2026-01-10,Tech Park,Entertainment,96,48000
2026-01-10,Tech Park,Services,75,90000
2026-01-10,Tech Park,Retail,149,119200
2026-01-10,Old Town,Entertainment,84,42000
2026-01-10,Old Town,Grocery,153,91800
2026-01-10,Old Town,Retail,117,93600
2026-01-10,Old Town,Services,60,72000
2026-01-10,Old Town,Food & Beverage,182,63700
2026-01-10,Old Town,Healthcare,39,58500
2026-01-10,Riverside,Food & Beverage,196,68600
2026-01-10,Riverside,Healthcare,33,49500
2026-01-10,Riverside,Grocery,171,102600
2026-01-10,Riverside,Retail,111,88800
2026-01-10,Riverside,Services,60,72000
2026-01-10,College Road,Retail,130,104000
2026-01-10,College Road,Grocery,165,99000
2026-01-10,College Road,Entertainment,106,53000
2026-01-10,College Road,Services,66,79200
2026-01-10,College Road,Food & Beverage,190,66500
2026-01-10,College Road,Healthcare,42,63000
2026-01-10,Industrial Zone,Entertainment,41,20500
2026-01-10,Industrial Zone,Retail,59,47200
2026-01-10,Industrial Zone,Services,31,37200
2026-01-10,Industrial Zone,Healthcare,19,28500
2026-01-10,Industrial Zone,Food & Beverage,96,33600
2026-01-10,Industrial Zone,Grocery,63,37800
2026-01-10,Central Mall,Healthcare,100,150000
2026-01-10,Central Mall,Retail,322,257600
2026-01-10,Central Mall,Entertainment,259,129500
2026-01-10,Central Mall,Grocery,382,229200
2026-01-10,Station Area,Grocery,209,125400
2026-01-10,Station Area,Retail,127,101600
2026-01-10,Station Area,Food & Beverage,255,89250
2026-01-10,Station Area,Entertainment,116,58000
2026-01-11,Market Street,Retail,233,186400
2026-01-11,Market Street,Healthcare,97,145500
2026-01-11,Market Street,Entertainment,175,87500
2026-01-11,Market Street,Services,145,174000
2026-01-11,Market Street,Grocery,366,219600
2026-01-11,Market Street,Food & Beverage,388,135800
2026-01-11,Tech Park,Healthcare,53,79500
2026-01-11,Tech Park,Entertainment,109,54500
2026-01-11,Tech Park,Services,76,91200
2026-01-11,Tech Park,Retail,143,114400
2026-01-11,Old Town,Entertainment,130,65000
2026-01-11,Old Town,Grocery,238,142800
2026-01-11,Old Town,Retail,178,142400
2026-01-11,Old Town,Services,72,86400
2026-01-11,Old Town,Food & Beverage,311,108850
2026-01-11,Old Town,Healthcare,46,69000
2026-01-11,Riverside,Food & Beverage,186,65100
2026-01-11,Riverside,Healthcare,37,55500
2026-01-11,Riverside,Grocery,120,72000
2026-01-11,Riverside,Retail,97,77600
2026-01-11,Riverside,Services,48,57600
2026-01-11,College Road,Retail,110,88000
2026-01-11,College Road,Grocery,146,87600
2026-01-11,College Road,Entertainment,97,48500
2026-01-11,College Road,Services,68,81600
2026-01-11,College Road,Food & Beverage,214,74900
2026-01-11,College Road,Healthcare,35,52500
2026-01-11,Industrial Zone,Entertainment,45,22500
2026-01-11,Industrial Zone,Retail,48,38400
2026-01-11,Industrial Zone,Services,28,33600
2026-01-11,Industrial Zone,Healthcare,21,31500
2026-01-11,Industrial Zone,Food & Beverage,112,39200
2026-01-11,Industrial Zone,Grocery,67,40200
2026-01-11,Central Mall,Healthcare,106,159000
2026-01-11,Central Mall,Retail,339,271200
2026-01-11,Central Mall,Entertainment,280,140000
2026-01-11,Central Mall,Grocery,417,250200
2026-01-11,Station Area,Grocery,237,142200
2026-01-11,Station Area,Retail,162,129600
2026-01-11,Station Area,Food & Beverage,284,99400
2026-01-11,Station Area,Entertainment,144,72000
2026-01-12,Market Street,Retail,173,138400
2026-01-12,Market Street,Healthcare,55,82500
2026-01-12,Market Street,Entertainment,137,68500
2026-01-12,Market Street,Services,91,109200
2026-01-12,Market Street,Grocery,223,133800
2026-01-12,Market Street,Food & Beverage,282,98700
2026-01-12,Tech Park,Healthcare,71,106500
2026-01-12,Tech Park,Entertainment,155,77500
2026-01-12,Tech Park,Services,95,114000
2026-01-12,Tech Park,Retail,197,157600
2026-01-12,Old Town,Entertainment,82,41000
2026-01-12,Old Town,Grocery,158,94800
2026-01-12,Old Town,Retail,110,88000
2026-01-12,Old Town,Services,56,67200
2026-01-12,Old Town,Food & Beverage,185,64750
2026-01-12,Old Town,Healthcare,29,43500
2026-01-12,Riverside,Food & Beverage,120,42000
2026-01-12,Riverside,Healthcare,23,34500
2026-01-12,Riverside,Grocery,110,66000
2026-01-12,Riverside,Retail,95,76000
2026-01-12,Riverside,Services,53,63600
2026-01-12,College Road,Retail,157,125600
2026-01-12,College Road,Grocery,207,124200
2026-01-12,College Road,Entertainment,97,48500
2026-01-12,College Road,Services,74,88800
2026-01-12,College Road,Food & Beverage,228,79800
2026-01-12,College Road,Healthcare,46,69000
2026-01-12,Industrial Zone,Entertainment,46,23000
2026-01-12,Industrial Zone,Retail,56,44800
2026-01-12,Industrial Zone,Services,25,30000
2026-01-12,Industrial Zone,Healthcare,21,31500
2026-01-12,Industrial Zone,Food & Beverage,87,30450
2026-01-12,Industrial Zone,Grocery,80,48000
2026-01-12,Central Mall,Healthcare,88,132000
2026-01-12,Central Mall,Retail,199,159200
2026-01-12,Central Mall,Entertainment,131,65500
2026-01-12,Central Mall,Grocery,284,170400
2026-01-12,Station Area,Grocery,217,130200
2026-01-12,Station Area,Retail,175,140000
2026-01-12,Station Area,Food & Beverage,214,74900
2026-01-12,Station Area,Entertainment,123,61500
2026-01-13,Market Street,Retail,177,141600
2026-01-13,Market Street,Healthcare,61,91500
2026-01-13,Market Street,Entertainment,188,94000
2026-01-13,Market Street,Services,84,100800
2026-01-13,Market Street,Grocery,254,152400
2026-01-13,Market Street,Food & Beverage,324,113400
2026-01-13,Tech Park,Healthcare,66,99000
2026-01-13,Tech Park,Entertainment,146,73000
2026-01-13,Tech Park,Services,99,118800
2026-01-13,Tech Park,Retail,173,138400
2026-01-13,Old Town,Entertainment,87,43500
2026-01-13,Old Town,Grocery,136,81600
2026-01-13,Old Town,Retail,112,89600
2026-01-13,Old Town,Services,54,64800
2026-01-13,Old Town,Food & Beverage,183,64050
2026-01-13,Old Town,Healthcare,35,52500
2026-01-13,Riverside,Food & Beverage,137,47950
2026-01-13,Riverside,Healthcare,24,36000
2026-01-13,Riverside,Grocery,81,48600
2026-01-13,Riverside,Retail,83,66400
2026-01-13,Riverside,Services,36,43200
2026-01-13,College Road,Retail,130,104000
2026-01-13,College Road,Grocery,175,105000
2026-01-13,College Road,Entertainment,127,63500
2026-01-13,College Road,Services,58,69600
2026-01-13,College Road,Food & Beverage,305,106750
2026-01-13,College Road,Healthcare,51,76500
2026-01-13,Industrial Zone,Entertainment,47,23500
2026-01-13,Industrial Zone,Retail,58,46400
2026-01-13,Industrial Zone,Services,32,38400
2026-01-13,Industrial Zone,Healthcare,20,30000
2026-01-13,Industrial Zone,Food & Beverage,103,36050
2026-01-13,Industrial Zone,Grocery,82,49200
2026-01-13,Central Mall,Healthcare,74,111000
2026-01-13,Central Mall,Retail,216,172800
2026-01-13,Central Mall,Entertainment,174,87000
2026-01-13,Central Mall,Grocery,288,172800
2026-01-13,Station Area,Grocery,231,138600
2026-01-13,Station Area,Retail,165,132000
2026-01-13,Station Area,Food & Beverage,183,64050
2026-01-13,Station Area,Entertainment,132,66000
2026-01-14,Market Street,Retail,183,146400
2026-01-14,Market Street,Healthcare,59,88500
2026-01-14,Market Street,Entertainment,138,69000
2026-01-14,Market Street,Services,106,127200
2026-01-14,Market Street,Grocery,262,157200
2026-01-14,Market Street,Food & Beverage,276,96600
2026-01-14,Tech Park,Healthcare,63,94500
2026-01-14,Tech Park,Entertainment,132,66000
2026-01-14,Tech Park,Services,84,100800
2026-01-14,Tech Park,Retail,171,136800
2026-01-14,Old Town,Entertainment,106,53000
2026-01-14,Old Town,Grocery,178,106800
2026-01-14,Old Town,Retail,128,102400
2026-01-14,Old Town,Services,69,82800
2026-01-14,Old Town,Food & Beverage,214,74900
2026-01-14,Old Town,Healthcare,38,57000
2026-01-14,Riverside,Food & Beverage,133,46550
2026-01-14,Riverside,Healthcare,27,40500
2026-01-14,Riverside,Grocery,110,66000
2026-01-14,Riverside,Retail,85,68000
2026-01-14,Riverside,Services,43,51600
2026-01-14,College Road,Retail,166,132800
2026-01-14,College Road,Grocery,237,142200
2026-01-14,College Road,Entertainment,128,64000
2026-01-14,College Road,Services,78,93600
2026-01-14,College Road,Food & Beverage,263,92050
2026-01-14,College Road,Healthcare,49,73500
2026-01-14,Industrial Zone,Entertainment,44,22000
2026-01-14,Industrial Zone,Retail,59,47200
2026-01-14,Industrial Zone,Services,29,34800
2026-01-14,Industrial Zone,Healthcare,19,28500
2026-01-14,Industrial Zone,Food & Beverage,81,28350
2026-01-14,Industrial Zone,Grocery,81,48600
2026-01-14,Central Mall,Healthcare,64,96000
2026-01-14,Central Mall,Retail,176,140800
2026-01-14,Central Mall,Entertainment,164,82000
2026-01-14,Central Mall,Grocery,280,168000
2026-01-14,Station Area,Grocery,186,111600
2026-01-14,Station Area,Retail,153,122400
2026-01-14,Station Area,Food & Beverage,255,89250
2026-01-14,Station Area,Entertainment,120,60000
2026-01-15,Market Street,Retail,198,158400
2026-01-15,Market Street,Healthcare,59,88500
2026-01-15,Market Street,Entertainment,142,71000
2026-01-15,Market Street,Services,77,92400
2026-01-15,Market Street,Grocery,259,155400
2026-01-15,Market Street,Food & Beverage,266,93100
2026-01-15,Tech Park,Healthcare,71,106500
2026-01-15,Tech Park,Entertainment,174,87000
2026-01-15,Tech Park,Services,128,153600
2026-01-15,Tech Park,Retail,184,147200
2026-01-15,Old Town,Entertainment,58,29000
2026-01-15,Old Town,Grocery,141,84600
2026-01-15,Old Town,Retail,123,98400
2026-01-15,Old Town,Services,62,74400
2026-01-15,Old Town,Food & Beverage,177,61950
2026-01-15,Old Town,Healthcare,33,49500
2026-01-15,Riverside,Food & Beverage,139,48650
2026-01-15,Riverside,Healthcare,23,34500
2026-01-15,Riverside,Grocery,108,64800
2026-01-15,Riverside,Retail,81,64800
2026-01-15,Riverside,Services,45,54000
2026-01-15,College Road,Retail,200,160000
2026-01-15,College Road,Grocery,218,130800
2026-01-15,College Road,Entertainment,119,59500
2026-01-15,College Road,Services,83,99600
2026-01-15,College Road,Food & Beverage,215,75250
2026-01-15,College Road,Healthcare,48,72000
2026-01-15,Industrial Zone,Entertainment,42,21000
2026-01-15,Industrial Zone,Retail,52,41600
2026-01-15,Industrial Zone,Services,29,34800
2026-01-15,Industrial Zone,Healthcare,16,24000
2026-01-15,Industrial Zone,Food & Beverage,101,35350
2026-01-15,Industrial Zone,Grocery,73,43800
2026-01-15,Central Mall,Healthcare,82,123000
2026-01-15,Central Mall,Retail,240,192000
2026-01-15,Central Mall,Entertainment,201,100500
2026-01-15,Central Mall,Grocery,358,214800
2026-01-15,Station Area,Grocery,215,129000
